Feature,Mean_SHAP
Satisfaction_Level,0.19403913951549398
Overtime_Hours,0.1259374550331435
Salary_Age_Ratio,0.07139226825282703
Monthly_Salary,0.06445994181116502
Promoted,0.05722513749572537
Department,0.05555754565926217
Years_At_Company,0.032452996477606286
Age,0.014370367146060227
Job_Title,0.014190727950908396
Performance_Score,0.013984372078039655
Efficiency_Index,0.012619343797562875
Burnout_Category,0.011722966475899084
Projects_Handled,0.010332370859764224
Tenure_Months,0.010270243731185381
Training_Hours,0.007915819961889014
Remote_Work_Frequency,0.007726592906346145
Team_Size,0.006387892476469357
Work_Hours_Per_Week,0.006112360425019213
Sick_Days,0.005255542378693537
Education_Level,0.004669088237541084
Gender,0.004612253537237908
